Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
SRR4417237.raw - illumina_universal_adapter	(1, 4.494823592594883e-05)	(2, 7.491372654324806e-05)	(3, 0.0001573188257408209)	(4, 0.0003221290241359666)	(5, 0.00036707726006191547)	(6, 0.0004644651045681379)	(7, 0.00048319353620394993)	(8, 0.0005281417721298987)	(9, 0.0005730900080558476)	(10, 0.0006779692252163948)	(12, 0.0007884669718676858)	(14, 0.000912074620664045)	(16, 0.001024445210478917)	(18, 0.0011180873686579772)	(20, 0.0012454407037814988)	(22, 0.0013709211957414393)	(24, 0.0015244943351550978)	(26, 0.0016630847292601067)	(28, 0.0017642182600934916)	(30, 0.0018653517909268764)	(32, 0.0020339076756491848)	(34, 0.0023335625818221768)	(36, 0.002710004057701998)	(38, 0.0034123202440449487)	(40, 0.004455493886159678)	(42, 0.0063526840108674345)	(44, 0.009057069539078689)	(46, 0.012173480563277808)	(48, 0.016173873560687255)	(50, 0.02204149119218716)	(52, 0.030171503365293152)	(54, 0.04017623154514393)	(56, 0.051907721121816575)	(58, 0.06486030444114416)	(60, 0.08065211799646085)	(62, 0.10106423563633236)	(64, 0.12737393639832106)	(66, 0.15872720379983396)	(68, 0.1929253199668267)	(70, 0.23219509542079733)	(72, 0.2821588053388166)	(74, 0.34762216527863393)	(76, 0.42834732415847443)	(78, 0.5197814002476723)	(80, 0.6234058124886201)	(82, 0.749023021999502)	(84, 0.911591427127841)	(86, 1.1179019571847828)	(88, 1.3573842853550744)	(90, 1.5530889045766556)
SRR4417237.raw - polya	(1, 0.0019103000268528253)	(2, 0.003869293975958762)	(3, 0.004824443989385175)	(4, 0.006011826555095656)	(5, 0.006951993823213419)	(6, 0.007674911284355762)	(7, 0.0086675181610538)	(8, 0.011012317801857463)	(9, 0.014544500008371609)	(10, 0.018762142812756476)	(12, 0.022519066198900366)	(14, 0.026079341052868226)	(16, 0.030229561503364172)	(18, 0.03463448862410716)	(20, 0.038513146815883824)	(22, 0.042492938538493875)	(24, 0.04680984203054854)	(26, 0.050920732774609276)	(28, 0.05517395959910219)	(30, 0.05941033083512287)	(32, 0.06357927971725462)	(34, 0.06775010144254995)	(36, 0.0724078623903764)	(38, 0.07701692941594974)	(40, 0.08158853957825146)	(42, 0.08637365386120142)	(44, 0.09093402696452164)	(46, 0.09543259624344369)	(48, 0.09994052973818365)	(50, 0.10423495911227534)	(52, 0.10858370093811089)	(54, 0.11331075708298984)	(56, 0.11807527009114041)	(58, 0.12223485475745427)	(60, 0.12617906245995625)	(62, 0.13089675438901732)	(64, 0.13579423926178216)	(66, 0.1417967016010599)	(68, 0.1461491891132226)	(70, 0.15003908436398078)	(72, 0.1539814192233192)	(74, 0.15798368506389224)	(76, 0.16196909531599302)	(78, 0.16577096693806287)	(80, 0.1699436615065218)	(82, 0.17385790371840648)	(84, 0.17743128847451944)	(86, 0.18111517097728363)	(88, 0.18451625416234713)	(90, 0.18703335537420024)
SRR4417238.raw - illumina_universal_adapter	(1, 4.164182471560976e-05)	(2, 4.6847052805060984e-05)	(3, 0.00014574638650463416)	(4, 0.00031751891345652443)	(5, 0.00034354505390378053)	(6, 0.00042162347524554885)	(7, 0.0004424443876033537)	(8, 0.0004892914404084147)	(9, 0.0005309332651240244)	(10, 0.0006194221426446952)	(12, 0.0007105136342100915)	(14, 0.0008146181959991159)	(16, 0.0009291332139670428)	(18, 0.0010124168633982623)	(20, 0.0010957005128294818)	(22, 0.0011763815482159759)	(24, 0.0012570625836024695)	(26, 0.0013403462330336892)	(28, 0.0014288351105543598)	(30, 0.0015407475144775611)	(32, 0.0016864939009821954)	(34, 0.0020118206565728964)	(36, 0.002469880728444604)	(38, 0.0032871015384884454)	(40, 0.004432251718167714)	(42, 0.006202029268581129)	(44, 0.00844808518917933)	(46, 0.011178227322096494)	(48, 0.014103565508368082)	(50, 0.01786954803108604)	(52, 0.02307737873458198)	(54, 0.02921434265204497)	(56, 0.03650166197727668)	(58, 0.0445619576737919)	(60, 0.05474078120271375)	(62, 0.06786316121622028)	(64, 0.08394471339857983)	(66, 0.10326391745257803)	(68, 0.12575570802709676)	(70, 0.1517662327900845)	(72, 0.18486107298281534)	(74, 0.22945426202514396)	(76, 0.2840336811570847)	(78, 0.34799812653430606)	(80, 0.4227217783724231)	(82, 0.5148334946433518)	(84, 0.6345485354726403)	(86, 0.7859035552436583)	(88, 0.9656582994707219)	(90, 1.1159280291850893)
SRR4417238.raw - polya	(1, 0.0012388442852893904)	(2, 0.00285767022110872)	(3, 0.0035499655570057323)	(4, 0.004695115736685001)	(5, 0.005819445004006464)	(6, 0.006532561252261281)	(7, 0.007797431677997927)	(8, 0.010394840494634086)	(9, 0.01399685833253433)	(10, 0.01829637673442104)	(12, 0.021432526658315396)	(14, 0.024529637371538876)	(16, 0.028027550647650095)	(18, 0.03163997894172924)	(20, 0.035171726200421895)	(22, 0.03871128130124872)	(24, 0.04311490426492445)	(26, 0.047164571718517505)	(28, 0.05133916464625739)	(30, 0.05610975619023943)	(32, 0.06057323927694385)	(34, 0.06471139560805757)	(36, 0.06912022379982274)	(38, 0.07344576834215671)	(40, 0.07793007234121893)	(42, 0.08201617639143816)	(44, 0.08625323205625143)	(46, 0.09052412170364617)	(48, 0.09471693292969913)	(50, 0.09894618075237824)	(52, 0.10355280761154256)	(54, 0.10836504098024022)	(56, 0.11319809526129568)	(58, 0.11740391955757228)	(60, 0.12141715041453915)	(62, 0.12619294718661064)	(64, 0.13191349285691756)	(66, 0.1373243274559021)	(68, 0.14186849157799303)	(70, 0.1456683080832924)	(72, 0.1496503075717226)	(74, 0.15364532013037638)	(76, 0.1574060974250049)	(78, 0.16108359107020218)	(80, 0.1649146389440383)	(82, 0.16906841095942035)	(84, 0.17265481311305225)	(86, 0.1760954688801795)	(88, 0.17959858738438017)	(90, 0.18240160271054964)
SRR4417239.raw - illumina_universal_adapter	(1, 3.795386896996046e-05)	(2, 3.795386896996046e-05)	(3, 6.452157724893279e-05)	(4, 9.488467242490116e-05)	(5, 0.00011006622001288534)	(6, 0.00012145238070387347)	(7, 0.00012145238070387347)	(8, 0.00012904315449786558)	(9, 0.00012904315449786558)	(10, 0.00014422470208584975)	(12, 0.00017458779726181812)	(14, 0.00021443935968027658)	(16, 0.00025049553520173904)	(18, 0.0002751655500322133)	(20, 0.00032640327314165996)	(22, 0.0003814363831481026)	(24, 0.00044026488005154135)	(26, 0.0004971956835064821)	(28, 0.0005503311000644267)	(30, 0.0006357273052468378)	(32, 0.0007913381680236756)	(34, 0.0010418337032254146)	(36, 0.001396702378094545)	(38, 0.0020058619750624104)	(40, 0.0028598240268865207)	(42, 0.004093324768410235)	(44, 0.005480538679262291)	(46, 0.00720933741084399)	(48, 0.009437229519380669)	(50, 0.012469743650080509)	(52, 0.0160317142529113)	(54, 0.020366046089280783)	(56, 0.025248811332266197)	(58, 0.03114114948985256)	(60, 0.03806393518997335)	(62, 0.047178556823109355)	(64, 0.05818517882439789)	(66, 0.07145195372284757)	(68, 0.08666006901911072)	(70, 0.10477924606536984)	(72, 0.12771287139046844)	(74, 0.15687282892008908)	(76, 0.19311308070605582)	(78, 0.23599715725521414)	(80, 0.28798257158336904)	(82, 0.35156099518839823)	(84, 0.43406891094219535)	(86, 0.5367493080535264)	(88, 0.6583819696350071)	(90, 0.7634496651045487)
SRR4417239.raw - polya	(1, 0.0014536331815494857)	(2, 0.003624594486631224)	(3, 0.004474761151558339)	(4, 0.005518492548232251)	(5, 0.006539451623524188)	(6, 0.007271961294644425)	(7, 0.008308101917524345)	(8, 0.010797875721953752)	(9, 0.014088476161649323)	(10, 0.0183336164059394)	(12, 0.021563490655283037)	(14, 0.025079916615349872)	(16, 0.029241558347906038)	(18, 0.033289338473552324)	(20, 0.036640665103599826)	(22, 0.04032408808713449)	(24, 0.044586307572461056)	(26, 0.04874225622467172)	(28, 0.05277675249617852)	(30, 0.05727238827567034)	(32, 0.06149665389202694)	(34, 0.0656526025442376)	(36, 0.07011977292200194)	(38, 0.07460402254080278)	(40, 0.07922680378134397)	(42, 0.08403745667328645)	(44, 0.08871147563693708)	(46, 0.0932963030085083)	(48, 0.09787543729973404)	(50, 0.10201999979125373)	(52, 0.1068553226980267)	(54, 0.11169823637859363)	(56, 0.11639502766362625)	(58, 0.12041054700064806)	(60, 0.12405981150210976)	(62, 0.1286161734719535)	(64, 0.1347779840992266)	(66, 0.1394842638515017)	(68, 0.14354532783128748)	(70, 0.1471490476899852)	(72, 0.1509937746166422)	(74, 0.15469617453466183)	(76, 0.15815946507817075)	(78, 0.16181442265997792)	(80, 0.1654048586645362)	(82, 0.16912433782359232)	(84, 0.17236370054017847)	(86, 0.17560496095021305)	(88, 0.17882155134541722)	(90, 0.18140810751572)
SRR4417240.raw - illumina_universal_adapter	(1, 4.7336449018407724e-05)	(2, 6.454970320691962e-05)	(3, 9.036958448968747e-05)	(4, 0.00016352591479086305)	(5, 0.00018504248252650292)	(6, 0.00021516567735639874)	(7, 0.00021516567735639874)	(8, 0.00022807561799778267)	(9, 0.0002409855586391666)	(10, 0.00026250212637480647)	(12, 0.00031414188894034217)	(14, 0.00035932668118518593)	(16, 0.00043463466825992546)	(18, 0.0004604545495426933)	(20, 0.0005056393417875371)	(22, 0.0005551274475795087)	(24, 0.0006175254940128644)	(26, 0.0006928334810876039)	(28, 0.0007745964384830355)	(30, 0.0009101508152175667)	(32, 0.001187714539007321)	(34, 0.0016675339995120904)	(36, 0.0023496091967318746)	(38, 0.0034835323164000955)	(40, 0.0051811895107420815)	(42, 0.007642684859699283)	(44, 0.011053060845798204)	(46, 0.01482276351308231)	(48, 0.01913898700085167)	(50, 0.02481720922628703)	(52, 0.03183161030810563)	(54, 0.04014991539470401)	(56, 0.049419252775217665)	(58, 0.05940294020455457)	(60, 0.07197722238926252)	(62, 0.08768431683627961)	(64, 0.1068577303455083)	(66, 0.12933178534538414)	(68, 0.15406723161427577)	(70, 0.18305865498127694)	(72, 0.22060291402319493)	(74, 0.26894418675485704)	(76, 0.327116379284933)	(78, 0.3938586207441144)	(80, 0.4711160088557029)	(82, 0.5671315407192223)	(84, 0.6904042605902503)	(86, 0.8446371697760904)	(88, 1.023631345112105)	(90, 1.1710521089528416)
SRR4417240.raw - polya	(1, 0.0014157901570051037)	(2, 0.003812735802755386)	(3, 0.004927294011461531)	(4, 0.006532429964540266)	(5, 0.008154779171807512)	(6, 0.009277944007607914)	(7, 0.011145582087061455)	(8, 0.014618356119593732)	(9, 0.01954995344460239)	(10, 0.02563699045701491)	(12, 0.02964122371261749)	(14, 0.033981115424896055)	(16, 0.03869539541577475)	(18, 0.0440573240954962)	(20, 0.0490405611830704)	(22, 0.054314271935075736)	(24, 0.059919337830209925)	(26, 0.0649283947990669)	(28, 0.07061092033804939)	(30, 0.07920678914843751)	(32, 0.08814046807227519)	(34, 0.09446633898655331)	(36, 0.10021556588551628)	(38, 0.10568507740391594)	(40, 0.11139987779450189)	(42, 0.11701570197350389)	(44, 0.12218398154360459)	(46, 0.12770082951102266)	(48, 0.13309933635589472)	(50, 0.1385968194123507)	(52, 0.14416961045588142)	(54, 0.14994035392258004)	(56, 0.1555583297583556)	(58, 0.16071154773104135)	(60, 0.16548177079803272)	(62, 0.17091685580805535)	(64, 0.17794201517374175)	(66, 0.1841366350248325)	(68, 0.18964917967870343)	(70, 0.1942558768309039)	(72, 0.19883029913150096)	(74, 0.20402224692611087)	(76, 0.20855148443446306)	(78, 0.21272354691840362)	(80, 0.21743997856605587)	(82, 0.22201870418020003)	(84, 0.22597344933001065)	(86, 0.2295796260825039)	(88, 0.23302442857697986)	(90, 0.23595928841612113)
SRR4417241.raw - illumina_universal_adapter	(1, 5.2729065275814535e-05)	(2, 5.932019843529135e-05)	(3, 0.0001186403968705827)	(4, 0.0002900098590169799)	(5, 0.0003493300574522713)	(6, 0.00044160592168494676)	(7, 0.0004613793211633772)	(8, 0.000500926120120238)	(9, 0.0005470640522365758)	(10, 0.0007085468146437578)	(12, 0.0008238916449346021)	(14, 0.0009359409086457081)	(16, 0.0010282167728783835)	(18, 0.0011831084021260885)	(20, 0.0013017487989966715)	(22, 0.0014401625953456847)	(24, 0.0015291428929986215)	(26, 0.0016411921567097273)	(28, 0.0017532414204208333)	(30, 0.0018718818172914161)	(32, 0.002099275911293366)	(34, 0.0024584926684848526)	(36, 0.0030220345536201205)	(38, 0.003987635561483474)	(40, 0.00517733509676904)	(42, 0.0070953548461767935)	(44, 0.009494527316226353)	(46, 0.012463832804570661)	(48, 0.016105433875181603)	(50, 0.020864232016323862)	(52, 0.02737297601130722)	(54, 0.0349395968783866)	(56, 0.042733611839467944)	(58, 0.051615163771862954)	(60, 0.06288600147456831)	(62, 0.0770931889998206)	(64, 0.09499470666095963)	(66, 0.11524596329345214)	(68, 0.1387861953725236)	(70, 0.16605371325327917)	(72, 0.19989918202719265)	(74, 0.24265256726613904)	(76, 0.29492684435394967)	(78, 0.3549687718702037)	(80, 0.42310790647287505)	(82, 0.5073359971178293)	(84, 0.6163072016434594)	(86, 0.7513727023474585)	(88, 0.908502021302806)	(90, 1.0389735021946496)
SRR4417241.raw - polya	(1, 0.0010348079060378602)	(2, 0.0025705419321959584)	(3, 0.0032560197807815477)	(4, 0.004040364626759289)	(5, 0.0048840296711723215)	(6, 0.005477231655525235)	(7, 0.006353852365735652)	(8, 0.008416877044651895)	(9, 0.011007192376326285)	(10, 0.013831492935162101)	(12, 0.01596042894567311)	(14, 0.018151980721199154)	(16, 0.020699453687336944)	(18, 0.02364898577620282)	(20, 0.026298621306312497)	(22, 0.02905701053355355)	(24, 0.0319702913900423)	(26, 0.03494618801154609)	(28, 0.0379253801996296)	(30, 0.041052872883801356)	(32, 0.04444071532777244)	(34, 0.04768684840881477)	(36, 0.05074513419481201)	(38, 0.05415275003826153)	(40, 0.05718467129162086)	(42, 0.060381370873967125)	(44, 0.06366045962080683)	(46, 0.06685386363657336)	(48, 0.07010658785077517)	(50, 0.07312203127123582)	(52, 0.07625281952198729)	(54, 0.07940338117221721)	(56, 0.08293952411227652)	(58, 0.08573746013847444)	(60, 0.08860460306284684)	(62, 0.09200892333971662)	(64, 0.09766741115712747)	(66, 0.10099922896924302)	(68, 0.1042420664837056)	(70, 0.10706636704254141)	(72, 0.10979839173714456)	(74, 0.11284679082340258)	(76, 0.11539426378954037)	(78, 0.11836356927788468)	(80, 0.12136912599860611)	(82, 0.12429888468799355)	(84, 0.12693204238520456)	(86, 0.12958497348189396)	(88, 0.13226756467780104)	(90, 0.13410978639587479)
